0,Pranjal Dev,"Reviewed in India on October 15, 2022",5.0,"Very good phone. Camera, battery,body design all very good. I am using this phone from last two years. It looks new still. Thank you Amazon",POSITIVE
0,Aaranyak B.,"Reviewed in India on October 13, 2022",5.0,Wanted to buy the Note 10 Pro for my mom. She liked Note 9's design more and ended up buying this for her. Good phone. She's been using it for about 1.5years now if I'm not wrong.,POSITIVE
0,Mohit,"Reviewed in India on October 11, 2022",5.0,"Nice looking, battery backup everything is good in this price range",POSITIVE
0,siddhant bhardwaj,"Reviewed in India on October 10, 2022",5.0,Chinese product promote made in india products only,NEGATIVE
0,Naved Miyan,"Reviewed in India on October 10, 2022",5.0,I like it,POSITIVE
0,RAJESH,"Reviewed in India on October 8, 2022",5.0,"network issue, many time call not comeany time phone showing switch off",NEGATIVE
0,Vivek jasrotia ,"Reviewed in India on October 7, 2022",5.0,"I m using this mobile since 1 year . Till i hv not seen any problem camera quality remains same , there is no effect on the battery also . but some time it hangs but it is not a problem very rare it hangs overall best phone",POSITIVE
0,AMOL,"Reviewed in India on October 5, 2022",5.0,Valu for money,NEGATIVE
0,kittamani,"Reviewed in India on October 3, 2022",5.0,Very good product,POSITIVE
0,Shadysg,"Reviewed in India on October 3, 2022",5.0,One of the best product at that time,POSITIVE
0,Sumit Chaudhary,"Reviewed in India on October 2, 2022",4.0,Value for money,POSITIVE
0,Piyush Pandey,"Reviewed in India on September 29, 2022",4.0,"Redmi is famous for its budget smartphones. This phone also is a masterpiece. Using this phone more than a year. On the basis of my usage, here is my experience.Pros:Very good Wide Angle and PrimaryBattery lasts for a day (In constant usage)MIUI is very smooth and has many featuresThe sensor of fingerprint is quite good.Selfie Camera is very good with nice AI featuresAmazon fast delivery delivered in 1 dayComes with charger which samsung does not provideThe display is LCD but has very vibrant coloursCons:Charger only 20 watt, 30 watt would be betterSpeakers are loud but expected more from thisThat's my review, I hope you found it useful.",POSITIVE
0,Kumaravel A,"Reviewed in India on September 25, 2022",4.0,Product worth for it's money,POSITIVE
0,Pushpendra kumar,"Reviewed in India on September 24, 2022",4.0,The bestest mobile phone by xiomi I have seen ... everything is perfect camera display performance battry life charging system...but camera omg the bestest camera 1 no ..,POSITIVE
0,CHINTAN THAKKAR,"Reviewed in India on September 23, 2022",4.0,Great price,POSITIVE
0,Isahaq ahamed Beig,"Reviewed in India on September 22, 2022",4.0,"Product is value for money u will get good camera decent battery and performance,but I felt heating issues during early days. Battery stays minimum of 8 to 10 hours during it's daily usage.",NEGATIVE
0,Rajinder Singh,"Reviewed in India on September 21, 2022",4.0,Good,POSITIVE
0,Achintya,"Reviewed in India on September 20, 2022",4.0,This is my third redmi phone and probably the last one. The main issue is its compass sensor is not working and you can't use it for Navigation/Google maps. Whenever I open google maps app the screen keeps on rotating. After careful analysis I found out that compass sensor is not working.Also it is very heavy phone(209 grams) and your wrists will pain if you use it for long time.,NEGATIVE
0,V.RAMA KRISHNA,"Reviewed in India on September 20, 2022",4.0,Very poor quality and battery problem and mother board damaged with in 13 month,NEGATIVE
0,Sanujose j,"Reviewed in India on September 20, 2022",4.0,Still worth buying in 2022,POSITIVE
0,Usmani Aquib,"Reviewed in India on September 19, 2022",5.0,Gud,NEGATIVE
0,Tushar,"Reviewed in India on September 19, 2022",5.0,Nic eproduct,POSITIVE
0,Saif,"Reviewed in India on September 15, 2022",5.0,They give defective mobiles especially if you opt for exchange option,NEGATIVE
0,Anmol,"Reviewed in India on September 15, 2022",5.0,amazing,POSITIVE
0,Sandeep Waghmare,"Reviewed in India on September 14, 2022",5.0,Good,POSITIVE
0,Amazon Customer,"Reviewed in India on September 13, 2022",5.0,Good mobil,POSITIVE
